Species,HBL(mm),HFL(mm),WT(g),Mean_Temp(C),Max_Temp(C),Min_temp(C),Lat.mid,Habitat,Loc_niche,References
Notomys_aquilo,108,37,38,26.7,34.4,17.7,-13.94,Forest,Terrestrial,"Alhajeri et al, 2020"
Notomys_cervinus,108,34,40,23.8,38.6,6.8,-24.9,Desert,Terrestrial,"Alhajeri et al, 2020"
Notomys_fuscus,98,35,32,22.4,37.7,5.3,-27.74,Grassland,Terrestrial,"Alhajeri et al, 2020"
Notomys_mitchellii,112,37,50,17.8,30.4,3.5,-31.87,Shrubland,Terrestrial,"Alhajeri et al, 2020"
Otomys_angoniensis,155,26,93,19,29.7,6.4,-17.58,Savanna,Terrestrial,"Alhajeri et al, 2020"
Otomys_auratus,168,29,127,16.2,28.9,1.9,-28.48,Grassland,,"Alhajeri et al, 2020"
Otomys_barbouri,166,27,112,8.9,14.7,3.2,1.15,Forest,Terrestrial,"Alhajeri et al, 2020"
Otomys_burtoni,156,30,90,16.7,22.3,11.8,4.24,Grassland,Terrestrial,"Alhajeri et al, 2020"
Otomys_irroratus,157,29,111,16.8,28.4,4.4,-33.01,Grassland,Terrestrial,"Alhajeri et al, 2020"
Otomys_karoensis,134,27,108,16.3,28.7,2.9,-32.38,Grassland,Terrestrial,"Alhajeri et al, 2020"
Otomys_laminatus,188,30,165,17.5,28.4,5.8,-29.73,Grassland,Terrestrial,"Alhajeri et al, 2020"
Otomys_occidentalis,143,28,77,22.9,29.4,15.4,6.84,Grassland,Terrestrial,"Alhajeri et al, 2020"
Otomys_sloggetti,127,28,84,14.1,27.1,-0.6,-30.59,Grassland,Terrestrial,"Alhajeri et al, 2020"
Otomys_tropicalis,178,29,111,19.4,25.6,12.9,0.42,Savanna,Terrestrial,"Alhajeri et al, 2020"
Otomys_typus,145,25,108,18.9,27.6,9.5,8.49,Savanna,Terrestrial,"Alhajeri et al, 2020"
Parahydromys_asper,225,53,540,18.7,25.1,12,-5.77,Forest,Terrestrial,"Alhajeri et al, 2020"
Paraleptomys_rufilatus,134,36,58,23.2,27.6,18.5,-3.19,Forest,Terrestrial,"Alhajeri et al, 2020"
Paramelomys_levipes,156,36,127,25.1,31.5,18.2,-8.13,Forest,Terrestrial,"Alhajeri et al, 2020"
Paramelomys_lorentzii,157,35,134,26.5,32.4,19.9,-6.5,Forest,Terrestrial,"Alhajeri et al, 2020"
Paramelomys_mollis,137,35,80,19.2,25.5,12.7,-5.62,Forest,Terrestrial,"Alhajeri et al, 2020"
Paramelomys_platyops,111,27,43,25.4,30.7,19.5,-4.8,Forest,Terrestrial,"Alhajeri et al, 2020"
Pelomys_fallax,147,32,105,21.9,31,11.2,-11.48,Savanna,Terrestrial,"Alhajeri et al, 2020"
Pelomys_hopkinsi,122,31,54,18.8,24.7,12.6,-1.68,Wetlands,Terrestrial,"Alhajeri et al, 2020"
Pelomys_isseli,140,32,72,22.1,27.9,16,0.15,Wetlands,Terrestrial,"Alhajeri et al, 2020"
Pelomys_minor,122,24,49,22.2,31.3,12,-8.96,Savanna,Terrestrial,"Alhajeri et al, 2020"
Petromyscus_collinus,80,16,100,18.8,31.7,4.2,-26.4,Desert,Terrestrial,"Alhajeri et al, 2020"
Petromyscus_shortridgei,83,16,19,21.6,32.7,8.1,-18.61,Savanna,Terrestrial,"Alhajeri et al, 2020"
Phloeomys_cumingi,418,80,1950,26.5,31.7,20.8,13.71,Forest,Arboreal,"Alhajeri et al, 2020"
Phloeomys_pallidus,404,85,2450,23.5,29.7,16.7,16.63,Forest,Arboreal,"Alhajeri et al, 2020"
Pithecheir_parvus,162,26,100,25.8,30.8,20.5,3.71,Forest,Arboreal,"Alhajeri et al, 2020"
Praomys_daltoni,109,20,34,27.1,35.9,16.7,10.97,Savanna,Scansorial,"Alhajeri et al, 2020"
Praomys_degraaffi,111,25,39,16.1,21.6,10.2,-2.02,Forest,Scansorial,"Alhajeri et al, 2020"
Praomys_delectorum,100,24,29,19.1,27.2,10.2,-9.1,Forest,Scansorial,"Alhajeri et al, 2020"
Praomys_derooi,97,21,32,26.7,33.3,18.5,8.05,Savanna,Scansorial,"Alhajeri et al, 2020"
Praomys_hartwigi,125,26,57,21.3,27.6,14,6.07,Forest,Scansorial,"Alhajeri et al, 2020"
Praomys_misonnei,112,24,35,23.6,28.9,18,0.09,Forest,Scansorial,"Alhajeri et al, 2020"
Praomys_morio,114,24,43,19.9,25.3,15,4.02,Forest,Scansorial,"Alhajeri et al, 2020"
Praomys_mutoni,114,22,45,24.1,29.5,18.6,0.41,Forest,Scansorial,"Alhajeri et al, 2020"
Praomys_obscurus,121,27,47,21.6,28.2,13.9,6.94,Savanna,Scansorial,"Alhajeri et al, 2020"
Praomys_rostratus,114,26,50,26,32.6,18.4,7.71,Forest,Scansorial,"Alhajeri et al, 2020"
Praomys_tullbergi,118,27,33,25.8,31.9,18.8,6.61,Forest,Scansorial,"Alhajeri et al, 2020"
Praomys_verschureni,121,30,51,22.9,28.6,17.1,1.39,Forest,Scansorial,"Alhajeri et al, 2020"
Pseudohydromys_carlae,96,21,15,15.4,21.9,9.2,-5.95,Forest,Terrestrial,"Alhajeri et al, 2020"
Pseudohydromys_ellermani,96,21,17,17.7,24.1,11.1,-5.58,Forest,Terrestrial,"Alhajeri et al, 2020"
Pseudohydromys_fuscus,96,22,19,17.8,24.5,10.7,-6.12,Forest,Terrestrial,"Alhajeri et al, 2020"
Pseudohydromys_germani,94,21,26,19.7,25.5,13.4,-9.77,Forest,Terrestrial,"Alhajeri et al, 2020"
Pseudohydromys_murinus,91,20,17,16.9,23.5,10.1,-6.53,Forest,Terrestrial,"Alhajeri et al, 2020"
Pseudohydromys_patriciae,100,20,22,13.5,19.9,7,-4.13,Forest,Terrestrial,"Alhajeri et al, 2020"
Pseudohydromys_pumehanae,99,22,18,21.7,28.9,13.9,-6.57,Forest,Terrestrial,"Alhajeri et al, 2020"
Pseudohydromys_sandrae,102,21,20,24.5,31.3,17.3,-6.12,Forest,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_albocinereus,85,22,28,17.7,30.1,3.9,-31.55,Shrubland,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_apodemoides,74,22,18,15.1,26.5,2.5,-36.23,Shrubland,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_australis,101,26,42,21.3,35.9,5,-28.5,Grassland,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_bolami,67,19,16,19.3,33.3,3.7,-30.21,Shrubland,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_calabyi,85,18,20,27.4,36,17,-13.14,Forest,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_chapmani,60,16,12,25.2,39.6,8.4,-22.77,Grassland,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_delicatulus,56,16,9,25,36,12.2,-18.68,Savanna,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_desertor,88,21,22,22.7,36.8,6.7,-25.07,Grassland,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_fieldi,102,26,40,22.9,32.9,12.4,-25.23,Shrubland,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_fumeus,114,27,54,10.9,21.2,-0.6,-37.08,Forest,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_gracilicaudatus,122,27,80,20.8,32.1,8.1,-24.2,Forest,Terrestrial,"Alhajeri et al, 2020"
Pseudomys_hermannsburgensis,70,17,13,22.8,37.3,6.4,-25.21,Grassland,Terrestrial,"Alhajeri et al, 2020"
